"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	13	206788	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	24	211611	11.342
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	12	213202	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	28	215438	12.997
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	18	244754	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	23	242514	9.484
	"Alabama"	"01"	"2013"	"2013"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	13	225800	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	15	207617	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	33	211864	15.576
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	11	212735	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	19	214464	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	15	240989	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	18	239311	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	11	223435	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	16	222839	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	23	209459	10.981
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	40	212565	18.818
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	18	210863	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	31	211753	14.640
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	30	237891	12.611
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	33	236505	13.953
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	17	237390	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	26	224776	11.567
	"Alaska"	"02"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	10	36239	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	12	36495	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	12	45316	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	10	41049	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	14	45671	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	11	44864	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	13	43801	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	10	39421	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	14	42227	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	10	42025	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	13	44285	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	13	34698	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	11	45720	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	11	309150	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	34	336511	10.104
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	14	333472	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	69	342180	20.165
	"Arizona"	"04"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	11	279577	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	50	269979	18.520
	"Arizona"	"04"	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	12	329792	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	26	339294	7.663
	"Arizona"	"04"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	18	336036	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	57	345305	16.507
	"Arizona"	"04"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	22	289648	7.595
	"Arizona"	"04"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	56	279981	20.001
	"Arizona"	"04"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	11	195435	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	12	341163	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	29	339972	8.530
	"Arizona"	"04"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	25	338716	7.381
	"Arizona"	"04"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	60	348071	17.238
	"Arizona"	"04"	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	21	305634	6.871
	"Arizona"	"04"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	66	295236	22.355
	"Arizona"	"04"	"2002"	"2002"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	18	348423	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	15	315988	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	29	343763	8.436
	"Arizona"	"04"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	28	339381	8.250
	"Arizona"	"04"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	72	348531	20.658
	"Arizona"	"04"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	31	312815	9.910
	"Arizona"	"04"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	65	302177	21.511
	"Arizona"	"04"	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	10	239866	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	10	219533	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	26	352708	7.372
	"Arizona"	"04"	"2003"	"2003"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	15	320015	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	32	345885	9.252
	"Arizona"	"04"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	36	338860	10.624
	"Arizona"	"04"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	60	347874	17.248
	"Arizona"	"04"	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	27	321635	8.395
	"Arizona"	"04"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	67	309955	21.616
	"Arizona"	"04"	"2003"	"2003"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	20	254388	7.862
	"Arizona"	"04"	"2004"	"2004"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	32	358943	8.915
	"Arizona"	"04"	"2004"	"2004"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	11	326752	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	32	351426	9.106
	"Arizona"	"04"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	23	340932	6.746
	"Arizona"	"04"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	62	350817	17.673
	"Arizona"	"04"	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	42	331210	12.681
	"Arizona"	"04"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	72	318668	22.594
	"Arizona"	"04"	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	16	269415	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	14	246607	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	28	366377	7.642
	"Arizona"	"04"	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	22	336776	6.533
	"Arizona"	"04"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	35	358661	9.759
	"Arizona"	"04"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	31	346451	8.948
	"Arizona"	"04"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	54	356780	15.135
	"Arizona"	"04"	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	58	343113	16.904
	"Arizona"	"04"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	70	330814	21.160
	"Arizona"	"04"	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	12	286341	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	18	262418	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	11	344834	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	39	373902	10.431
	"Arizona"	"04"	"2006"	"2006"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	15	346502	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	52	366623	14.184
	"Arizona"	"04"	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	41	351504	11.664
	"Arizona"	"04"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	66	363129	18.175
	"Arizona"	"04"	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	57	354488	16.080
	"Arizona"	"04"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	74	341745	21.654
	"Arizona"	"04"	"2006"	"2006"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	23	302819	7.595
	"Arizona"	"04"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	26	277465	9.371
	"Arizona"	"04"	"2007"	"2007"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	16	351441	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	39	380508	10.249
	"Arizona"	"04"	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	19	350471	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	58	369557	15.694
	"Arizona"	"04"	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	43	352300	12.206
	"Arizona"	"04"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	63	363040	17.353
	"Arizona"	"04"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	46	362401	12.693
	"Arizona"	"04"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	88	350920	25.077
	"Arizona"	"04"	"2007"	"2007"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	18	314861	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	23	288619	7.969
	"Arizona"	"04"	"2008"	"2008"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	46	384411	11.966
	"Arizona"	"04"	"2008"	"2008"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	27	352037	7.670
	"Arizona"	"04"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	49	370427	13.228
	"Arizona"	"04"	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	39	350166	11.138
	"Arizona"	"04"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	68	361098	18.831
	"Arizona"	"04"	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	60	368502	16.282
	"Arizona"	"04"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	88	357586	24.609
	"Arizona"	"04"	"2008"	"2008"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	29	324123	8.947
	"Arizona"	"04"	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	33	296673	11.123
	"Arizona"	"04"	"2009"	"2009"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	13	360042	Unreliable
	"Arizona"	"04"	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	61	384290	15.873
	"Arizona"	"04"	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	31	351015	8.832
	"Arizona"	"04"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	91	367937	24.732
	"Arizona"	"04"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	45	346252	12.996
	"Arizona"	"04"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	59	356397	16.555
	"Arizona"	"04"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	86	370830	23.191
	"Arizona"	"04"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	97	360915	26.876
	"Arizona"	"04"	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	36	334305	10.769
	"Arizona"	"04"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	33	304991	10.820
	"Arizona"	"04"	"2010"	"2010"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	17	361142	Unreliable
	"Arizona"	"04"	"2010"	"2010"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	62	384067	16.143
	"Arizona"	"04"	"2010"	"2010"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	41	349126	11.744
	"Arizona"	"04"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	82	364994	22.466
	"Arizona"	"04"	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	42	343924	12.212
	"Arizona"	"04"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	66	353560	18.667
	"Arizona"	"04"	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	76	372412	20.408
	"Arizona"	"04"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	77	362569	21.237
	"Arizona"	"04"	"2010"	"2010"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	48	343676	13.967
	"Arizona"	"04"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	49	313906	15.610
	"Arizona"	"04"	"2011"	"2011"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	14	363581	Unreliable
	"Arizona"	"04"	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	59	389070	15.164
	"Arizona"	"04"	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	34	352462	9.646
	"Arizona"	"04"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	82	371728	22.059
	"Arizona"	"04"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	40	342631	11.674
	"Arizona"	"04"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	56	351672	15.924
	"Arizona"	"04"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	57	370257	15.395
	"Arizona"	"04"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	74	362411	20.419
	"Arizona"	"04"	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	51	356696	14.298
	"Arizona"	"04"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	39	325236	11.991
	"Arizona"	"04"	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	11	253003	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	14	365805	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	38	390595	9.729
	"Arizona"	"04"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	30	352764	8.504
	"Arizona"	"04"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	69	373064	18.495
