"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	33	4672840	0.7
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	50	4672840	1.1
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	13	4672840	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	25	4672840	0.5
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	27	4672840	0.6
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	33	4718206	0.7
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	55	4718206	1.2
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	11	4718206	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	28	4718206	0.6
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	32	4718206	0.7
	"Alabama"	"01"	"2008"	"2008"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Methadone"	"T40.3"	11	4718206	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	11	4757938	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	47	4757938	1.0
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	54	4757938	1.1
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	21	4757938	0.4
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	25	4757938	0.5
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	27	4757938	0.6
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	28	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	39	4779736	0.8
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	23	4779736	0.5
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	11	4779736	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	43	4779736	0.9
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	29	4779736	0.6
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other synthetic narcotics"	"T40.4"	11	4779736	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	10	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	47	4802740	1.0
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	32	4802740	0.7
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	14	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	35	4802740	0.7
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	27	4802740	0.6
	"Alabama"	"01"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	32	4822023	0.7
	"Alabama"	"01"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	30	4822023	0.6
	"Alabama"	"01"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	37	4822023	0.8
	"Alabama"	"01"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	25	4822023	0.5
	"Alabama"	"01"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	14	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	30	4833722	0.6
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	34	4833722	0.7
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	30	4833722	0.6
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	16	4833722	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	10	4833722	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	23	4833722	0.5
	"Alabama"	"01"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	10	4833722	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	92	4849377	1.9
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	43	4849377	0.9
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	25	4849377	0.5
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	31	4849377	0.6
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	30	4849377	0.6
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	35	4849377	0.7
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	15	4849377	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other synthetic narcotics"	"T40.4"	13	4849377	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	10	626932	Unreliable
	"Alaska"	"02"	"2006"	"2006"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	11	675302	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	19	687455	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	20	687455	2.9
	"Alaska"	"02"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	18	687455	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	13	698895	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	33	698895	4.7
	"Alaska"	"02"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	12	698895	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other synthetic narcotics"	"T40.4"	12	698895	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	24	710231	3.4
	"Alaska"	"02"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	16	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	10	722718	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	10	722718	Unreliable
	"Alaska"	"02"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	22	722718	3.0
	"Alaska"	"02"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	13	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	13	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	10	731449	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	27	731449	3.7
	"Alaska"	"02"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	11	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	14	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	13	735132	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	23	735132	3.1
	"Alaska"	"02"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	12	736732	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	18	736732	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	13	736732	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	16	736732	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	23	5023823	0.5
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	44	5023823	0.9
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	10	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	69	5023823	1.4
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	16	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	14	5023823	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Other opioids"	"T40.2"	13	5023823	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	12	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	60	5130632	1.2
	"Arizona"	"04"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	89	5130632	1.7
	"Arizona"	"04"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	10	5130632	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	16	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	16	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	43	5273477	0.8
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	15	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	85	5273477	1.6
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	19	5273477	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	21	5273477	0.4
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	19	5396255	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	55	5396255	1.0
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	34	5396255	0.6
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	75	5396255	1.4
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	37	5396255	0.7
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	16	5396255	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	24	5396255	0.4
	"Arizona"	"04"	"2002"	"2002"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Other opioids"	"T40.2"	10	5396255	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other opioids"	"T40.2"	17	5396255	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	51	5510364	0.9
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	63	5510364	1.1
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	38	5510364	0.7
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	10	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	46	5510364	0.8
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Heroin"	"T40.1"	13	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	35	5510364	0.6
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	25	5510364	0.5
	"Arizona"	"04"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	15	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Other opioids"	"T40.2"	14	5510364	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other opioids"	"T40.2"	10	5510364	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	34	5652404	0.6
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	82	5652404	1.5
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	44	5652404	0.8
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other synthetic narcotics"	"T40.4"	15	5652404	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other and unspecified narcotics"	"T40.6"	56	5652404	1.0
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	25	5652404	0.4
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	11	5652404	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other and unspecified narcotics"	"T40.6"	19	5652404	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"Other opioids"	"T40.2"	11	5652404	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other opioids"	"T40.2"	11	5652404	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Heroin"	"T40.1"	27	5839077	0.5
	"Arizona"	"04"	"2005"	"2005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	96	5839077	1.6
